CLIENTNUM,Customer_Age,Gender,Marital_Status,Dependent_count,Education_Level,Income_Category,cluster,segment,profile_description,Card_Category,recommended_card,upgrade_flag,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Revolving_Bal
806624208,47,M,Married,4,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1045,38,0.285,1362
778348233,53,M,Married,3,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1038,25,0.658,1811
712991808,53,M,Married,2,Uneducated,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1596,26,0.69,1690
709029408,41,M,Married,4,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1589,24,0.282,2517
788658483,53,F,Married,2,College,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1411,28,0.562,1490
787937058,58,M,Married,0,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1291,24,0.135,1696
715318008,55,F,Single,1,College,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1407,43,0.544,1914
713962233,55,F,Married,3,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1877,37,0.757,2298
785432733,42,F,Married,4,High School,Less than $40K,0,Barnacle,"Low spend, low utilization - re-activation target",Gold,Gold,False,966,22,0.0,0
715190283,57,F,Unknown,1,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1464,28,0.241,886
827111283,45,M,Single,3,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1109,28,0.018,578
758551608,51,M,Married,2,Unknown,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1347,28,0.355,2204
773146383,50,F,Single,1,College,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1756,33,0.145,2517
778493808,49,M,Married,3,High School,$60K - $80K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1756,32,0.0,0
720572508,38,F,Single,4,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1042,23,0.209,2055
712661433,49,M,Single,4,Uneducated,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1444,28,0.0,0
789172683,56,M,Married,2,Doctorate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1741,27,0.626,1430
738406533,59,M,Married,1,Doctorate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1719,27,0.793,2020
799723908,46,M,Married,3,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1217,27,0.074,1435
771490833,52,M,Single,1,College,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1140,40,0.259,1227
720756708,52,F,Married,3,Unknown,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1878,30,0.591,1549
711525033,66,F,Married,0,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1946,38,0.687,2179
712813458,49,M,Married,2,Unknown,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1414,35,0.127,2517
717891558,49,F,Unknown,4,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1052,32,0.667,2200
716632758,49,F,Single,3,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1295,40,0.843,2363
768563658,56,M,Married,2,Uneducated,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1424,29,0.422,1880
711427458,44,F,Married,5,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1359,25,0.156,978
714091983,42,M,Single,2,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1168,27,0.525,1753
787584108,55,M,Married,3,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1097,33,0.587,2016
711481533,39,M,Divorced,1,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1316,28,0.211,1251
710082708,44,M,Single,4,Post-Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1276,26,0.088,2102
708155733,53,M,Single,2,High School,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1289,23,0.111,1634
788979258,51,M,Single,4,Uneducated,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1293,32,0.044,1515
807986133,57,M,Married,2,College,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1353,35,0.276,1817
788730933,44,F,Single,2,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1132,28,0.704,1468
711314058,49,M,Married,2,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1670,17,0.656,1107
717975333,50,M,Married,2,Doctorate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,837,15,0.053,1330
715971108,51,M,Single,4,Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1550,41,0.051,1763
720096558,55,F,Married,2,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1540,36,0.467,1034
719580033,54,M,Unknown,1,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1256,21,0.698,2030
820582308,42,M,Married,5,Uneducated,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1394,35,0.067,1528
789973308,44,M,Single,1,College,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1341,24,0.079,1932
712876233,53,M,Single,2,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1289,33,0.287,1515
804595158,44,F,Single,4,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1112,23,0.36,2517
714826758,37,F,Single,3,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,2339,57,0.256,1801
779058108,49,M,Divorced,3,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1468,23,0.719,1823
710790258,47,M,Married,2,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1334,35,0.066,1899
715623483,47,M,Married,3,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1457,41,0.198,1695
715156383,44,M,Unknown,1,Unknown,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1603,29,0.044,1533
755420433,59,F,Married,1,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1068,20,0.14,1417
794543958,53,M,Divorced,1,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1590,27,0.035,1219
716396358,52,M,Married,2,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1531,35,0.619,1910
715398033,53,M,Single,2,High School,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1212,31,0.108,2056
711743883,43,F,Single,3,Uneducated,Less than $40K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1237,32,0.0,0
719720058,44,M,Single,3,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1413,14,0.066,837
778992108,57,M,Married,2,Unknown,$120K +,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1516,29,0.0,0
717539808,51,F,Single,2,High School,Less than $40K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1276,21,0.0,0
714070758,49,M,Single,4,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1564,35,0.062,1953
714107958,45,M,Single,1,Graduate,$40K - $60K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1465,34,0.0,0
789140283,53,M,Single,0,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1286,29,0.765,2037
715550508,45,F,Married,3,Unknown,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1312,20,0.963,2440
719712633,64,M,Married,1,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1673,32,0.524,895
772629333,45,M,Married,3,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1313,30,0.347,1200
720336708,53,M,Married,3,Doctorate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1609,42,0.45,1706
802013583,56,M,Married,3,College,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1158,19,0.232,2250
714778833,49,F,Single,3,College,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1289,22,0.085,1960
713843283,41,F,Married,3,Unknown,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1487,26,0.059,2053
779155158,53,M,Married,3,Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1259,33,0.43,1264
721091583,44,F,Single,2,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1298,15,0.62,1879
713572683,44,M,Unknown,3,High School,$60K - $80K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1226,34,0.0,0
716657058,43,F,Married,4,Post-Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1566,37,0.111,926
779509983,53,M,Single,2,Post-Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1022,21,0.027,931
717929133,44,M,Married,1,Uneducated,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1235,30,0.169,2440
808284783,62,F,Married,1,Unknown,Less than $40K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1951,44,0.0,0
708476808,54,M,Divorced,4,Unknown,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1047,31,0.058,1960
710916408,57,M,Married,4,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1342,32,0.223,1886
708492558,42,M,Married,3,Unknown,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1107,21,0.057,865
799825758,42,M,Divorced,4,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1251,35,0.513,1674
718619883,54,F,Married,0,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1305,24,0.473,706
711844758,48,M,Single,3,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1388,37,0.095,1294
714798783,49,M,Single,1,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1235,18,0.047,895
826762908,52,M,Unknown,3,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,2089,36,0.106,1273
771894558,50,M,Single,3,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1626,25,0.156,1559
721074183,49,M,Married,1,Doctorate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1111,24,0.05,1196
715259583,53,F,Married,2,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1553,38,0.355,1901
718414008,50,M,Single,2,Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1064,13,0.03,1023
719666283,55,F,Married,1,Doctorate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1243,29,0.615,1951
714877233,53,M,Married,1,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1659,38,0.15,1836
785387883,47,F,Single,3,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1594,47,0.407,1540
771075258,55,M,Single,2,College,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1268,42,0.044,1527
711318033,47,M,Single,3,Graduate,$60K - $80K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1304,24,0.0,0
783554958,58,M,Single,4,Graduate,$120K +,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1368,30,0.0,0
718039683,52,M,Single,2,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1521,29,0.096,1300
710806083,50,F,Unknown,1,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1137,30,0.176,2090
714752208,42,F,Married,1,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,978,16,0.83,1985
822063408,43,M,Married,4,Unknown,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1221,16,0.412,2517
714490308,57,M,Married,4,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1565,28,0.086,1662
713356833,52,M,Married,1,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1578,34,0.678,2517
711402333,47,M,Single,2,Doctorate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1493,32,0.246,797
708296883,44,F,Single,3,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1178,27,0.067,788
719154483,53,M,Divorced,2,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,991,26,0.271,2100
717721458,45,M,Divorced,4,College,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,2560,42,0.114,1186
711112683,63,F,Married,1,College,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1657,29,0.395,1568
715674483,39,F,Single,2,Post-Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1204,19,0.406,2517
789968058,51,M,Single,1,Unknown,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1131,18,0.258,2327
709919283,54,M,Married,4,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1576,25,0.169,2517
718744008,59,F,Single,1,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1217,20,0.178,1128
716104983,41,F,Single,2,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1617,31,0.941,2117
818839983,55,M,Married,2,Graduate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1592,34,0.141,1536
772288758,47,F,Married,4,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1343,30,0.23,1228
712350858,41,M,Married,2,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1303,39,0.118,1104
711009708,40,M,Single,3,High School,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1351,22,0.0,0
712720158,68,M,Married,1,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1910,32,0.119,1652
712215258,50,F,Single,1,Graduate,$40K - $60K,0,Barnacle,"Low spend, low utilization - re-activation target",Silver,Silver,False,1298,22,0.0,0
773827008,47,M,Single,4,Uneducated,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1087,29,0.64,1540
795232683,53,F,Married,1,College,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1439,26,0.432,930
713786508,42,F,Married,5,Unknown,$40K - $60K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1238,28,0.0,0
713539833,48,F,Single,4,High School,$40K - $60K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1716,29,0.0,0
712454058,49,M,Married,1,Doctorate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1099,27,0.066,618
718759833,44,F,Married,2,Uneducated,Unknown,0,Barnacle,"Low spend, low utilization - re-activation target",Silver,Silver,False,1058,24,0.0,0
718803333,43,F,Divorced,4,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1285,29,0.612,1954
720253908,56,M,Married,0,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1651,28,0.359,1024
714133158,59,F,Single,1,College,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1152,31,0.309,1305
713187033,46,M,Married,1,Uneducated,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1767,38,0.101,2071
714791208,47,F,Divorced,4,Unknown,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1039,24,0.607,2114
772426383,50,F,Married,4,Uneducated,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1130,28,0.512,1570
710975883,51,F,Married,3,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1645,30,0.806,1761
714264408,47,F,Married,3,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1413,29,0.463,746
715827858,58,F,Married,4,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1218,23,0.77,2173
709531908,53,M,Married,3,High School,$60K - $80K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,2184,53,0.0,0
716493408,45,F,Divorced,4,Uneducated,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1592,37,0.108,1719
714141108,52,F,Married,1,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1388,28,0.133,893
712608783,50,M,Married,2,High School,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1504,34,0.037,1260
820353558,41,F,Married,3,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1503,34,0.146,1434
714964758,45,F,Divorced,5,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1105,28,0.171,1777
716264358,53,M,Married,3,Uneducated,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,2398,47,0.069,1836
717296808,67,F,Married,1,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1661,32,0.837,2517
712977183,57,F,Single,2,Uneducated,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1421,22,0.055,1072
710829108,59,F,Married,1,Uneducated,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,999,28,0.294,985
779562633,45,M,Married,2,Uneducated,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1387,18,0.39,2248
715315833,51,M,Married,3,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1243,24,0.19,2107
815500983,59,F,Married,1,Uneducated,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1860,36,0.692,2001
719360583,53,M,Married,1,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1502,25,0.503,1701
709701558,47,M,Married,3,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1460,50,0.059,1251
721148358,49,F,Single,3,Uneducated,Unknown,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1348,27,0.0,0
779862408,49,M,Single,3,Post-Graduate,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1087,33,0.074,462
812627208,60,F,Single,0,College,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1226,33,0.513,738
711033408,50,F,Married,2,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1230,28,0.174,1626
779956608,41,F,Married,2,Post-Graduate,Unknown,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1555,32,0.0,0
780376683,57,M,Married,1,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1827,24,0.135,1976
717912483,43,M,Unknown,4,Graduate,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1376,35,0.0,0
714454758,57,F,Married,3,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1771,37,0.251,1594
780466533,54,M,Married,3,Doctorate,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1873,52,0.078,1676
715735233,51,F,Married,5,Post-Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1679,42,0.463,1598
720476733,47,F,Married,3,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1002,22,0.133,799
715872333,41,M,Unknown,0,High School,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1344,21,0.11,1998
712375758,53,M,Married,3,Uneducated,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1461,42,0.087,1423
718030083,59,M,Married,1,College,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1428,22,0.214,1687
720707283,48,M,Married,4,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1777,42,0.164,866
771698658,44,M,Married,5,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1302,27,0.176,2006
748326258,48,M,Married,3,College,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1483,41,0.133,1632
770817783,47,M,Married,4,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1060,27,0.049,1679
779353083,47,M,Married,2,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1330,32,0.043,1468
711441333,43,F,Divorced,1,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1229,27,0.15,1580
809164083,63,M,Married,1,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1450,37,0.679,1779
820596183,58,M,Married,2,College,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,2311,48,0.098,2395
715999608,53,F,Married,2,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1378,26,0.694,1649
710565408,59,M,Unknown,0,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1033,26,0.039,1359
